city_slug,name,type,url,source,verified_asof,status
asheville,O.Henry's,bar,https://www.ohenrysofasheville.com/,2026 Pride events listed by Explore Asheville (2026-07-10) and BPR (2026-06-25),2026-09-20,open
asheville,Banks Ave Bar,bar,https://www.facebook.com/banksavebar/,BPR 2026-06-25 and Explore Asheville 2026-07-10 list 2026 events; URL is its Facebook page,2026-09-20,open
asheville,Blue Ridge Pride (Virtual Pride Center),center,https://www.blueridgepride.org/,Organizer site lists 2026 festival,2026-09-20,open
asheville,WNCAP (Western North Carolina AIDS Project),health,https://wncap.org/,Site references 2026 Dining Out For Life and 2026 Annual Report,2026-09-20,open
asheville,Campaign for Southern Equality,other,https://www.southernequality.org/,Site shows 2026 news,2026-09-20,open
asheville,Scandals Nightclub,bar,http://www.scandalsnightclub.com/,"BPR, March 7, 2025: closed permanently after four decades",2026-09-20,closed
raleigh-durham,LGBTQ Center of Durham,center,https://www.lgbtqcenterofdurham.org/,"Own site: 2026 Pride week, youth center drop-ins, library reopening April 2026",2026-09-20,open
raleigh-durham,LGBT Center of Raleigh,center,https://www.lgbtcenterofraleigh.com/,"Own site: posted hours, 2026 Leadership Summit, Out! Raleigh Pride 2026",2026-09-20,open
raleigh-durham,Club ERA (Durham),bar,https://cluberadurham.com/,Own site lists Sept 2026 events and Thu-Sat hours,2026-09-20,open
raleigh-durham,Arcana Bar and Lounge (Durham),bar,https://arcanadurham.com/,Own site shows current hours (Tue-Sun); Discover Durham 2026 listing,2026-09-20,open
savannah,Savannah Pride Center,center,https://savannahpridecenter.org/,Own site: 2026 Pride Festival page; clinic services listed,2026-09-20,open
savannah,Club One Savannah,bar,https://www.clubone-online.com/,Own site shows 'REOPENING FALL 2026',2026-09-20,closed
st-pete,COCKtail St. Pete,bar,https://cocktailstpete.com/,Own site: daily hours; 2026 events listed,2026-09-20,open
st-pete,Metro Healthy Communities,health,https://metrotampabay.org/,Own site: four St. Pete locations; 2026 Health Center Program badges,2026-09-20,open
